Provincia,Distrito,Posto,Localidade,Povoado,CodigoEscola,NomeEscola,TemAgua,FonteAgua,QualidadeAgua,TemEnergia ,TipoEnergia,TemLatrina,TotalLatrina,EstadoLatrina,TemUrino,TotalUrino,UrinoFuncional,EstadoUrino,TemCasaBanho,TotalCB,CBFunci,Longitude,Latitude
Cabo Delgado,Macomia,Quiterajo,Quiterajo sede,Quiterajo sede,10139,Escola Primária de Quiterajo Sede,Não,Nenhuma Fonte,Nenhuma,Sim,Painel Solar,Sim,4,Bom,Não,0,Não,Nenhum,Sim,2,Não,40.43158889,-11.7512
Cabo Delgado,Montepuez,Mapupulo,Mapupulo sede,Linde,10301,Escola Primária Completa  de Linde,Sim,Furo com bomba,Potável,Sim,Painel Solar,Sim,4,Mau,Não,0,Não,Nenhum,Não,0,Não,38.94713889,-13.31463889
Cabo Delgado,Macomia,Mucojo,Naunde,Olumboa,10146,Escola Primária Completa de Olumboa,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,40.50147222,-12.22438889
Cabo Delgado,Montepuez,Namanhumbir,M'Pupene,Namanhumbir,10322,Escola Primária Completa de Namanhumbir,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,4,Mau,Não,0,Não,Nenhum,Não,0,Não,39.28047222,-13.03741667
Cabo Delgado,Montepuez,Namanhumbir,M'Pupene,Nanhupo,10325,Escola Primária Completa de Nanhupo,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,6,Mau,Não,0,Não,Nenhum,Não,0,Não,39.32291667,-12.995
Cabo Delgado,Macomia,Chai,Chai sede,Chai Sede,10180,Escola Primária de Chai Sede,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,40.108,-11.933
Cabo Delgado,Macomia,Quiterajo,Imala,Unidade,10989,Escola Primária Unidade,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,40.42608333,-11.82275
Cabo Delgado,Mecúfi,Murrebue,Murrebue sede,Murrebue,10182,Escola Primária de Murrebue Sede,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,4,Bom,Não,0,Não,Nenhum,Sim,2,Não,40.54550278,-13.13888056
Cabo Delgado,Montepuez,Cidade de Montepuez,Cidade Montepuez,Cidade de Montepuez,10822,Escola Primária Completa de Matuto 1,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,4,Mau,Não,0,Não,Nenhum,Não,0,Não,39.00072222,-13.12283333
Cabo Delgado,Mecúfi,Mecúfi,Maueia,Mecufi Sede,10187,Escola Completa de Mecúfi Sede,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,4,Mau,Não,0,Não,Nenhum,Sim,2,Não,40.55394444,-13.29191667
Cabo Delgado,Mueda,Mueda sede,Vila de Mueda,Vila de Mueda,10368,Escola Primária Completa de  Lilondo,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,6,Mau,Não,0,Não,Nenhum,Não,0,Não,39.58538889,-11.66408333
Cabo Delgado,Mecúfi,Mecúfi,Mecúfi sede,Muaria,10189,Escola Primária Completa de Muaria,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,3,Bom,Não,0,Não,Nenhum,Não,0,Não,40.54191667,-13.28336111
Cabo Delgado,Mecúfi,Mecúfi,Sambene,Sambene,10192,Escola Primária Completa de Sambene,Sim,Furo com bomba,Potável,Não,Nenhum,Sim,2,Mau,Não,0,Não,Nenhum,Não,0,Não,40.54618333,-13.35220833
Cabo Delgado,Mecúfi,Mecúfi,Mecúfi sede,Muinde,10195,Escola Primária Completa de Muinde,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,6,Mau,Não,0,Não,Nenhum,Não,0,Não,40.54558333,-13.34702778
Cabo Delgado,Mueda,Mueda sede,Miula,Chacalanga,10375,Escola Primária  Completa de Chacalanga,Sim,Rede pública,Potável,Sim,Painel Solar,Sim,2,Bom,Não,0,Não,Nenhum,Não,0,Não,39.44358333,-11.49297222
Cabo Delgado,Meluco,Meluco,Mitepo,Mitepo,10207,Escola Primária Completa de Mitepo,Sim,Furo com bomba,Potável,Não,Nenhum,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,39.72944444,-12.63294444
Cabo Delgado,Mueda,Mueda sede,Mpeme,Mpeme,10377,Escola Primária  Completa de Mpeme,Sim,Rede pública,Potável,Sim,Painel Solar,Sim,8,Mau,Não,0,Não,Nenhum,Não,0,Não,39.67886111,-11.59888889
Cabo Delgado,Meluco,Meluco,Meluco sede,Ncore,10212,Escola Primária Completa 16 de Junho-Ncore,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,39.214,-12.77816667
Cabo Delgado,Mueda,Imbuo,Namaua,Namaua,10378,Escola Primária Completa de Namaua,Sim,Rede pública,Potável,Sim,Painel Solar,Sim,6,Mau,Não,0,Não,Nenhum,Não,0,Não,39.72508333,-11.58088889
Cabo Delgado,Mueda,Imbuo,Namaua,Cooperativa Moçambique,10380,Escola Primária Completa Cooperativa de Moçambique,Sim,Rede pública,Potável,Sim,Painel Solar,Sim,2,Mau,Não,0,Não,Nenhum,Não,0,Não,39.8015,-11.57622222
Cabo Delgado,Meluco,Muaguide,Mitembo,Pedreira,10843,Escola Primária da Pedreira,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,40.03077778,-12.55502778
Cabo Delgado,Meluco,Meluco,Meluco sede,Nnaua,10960,Escola Primária de N´naua,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,39.73547222,-12.5055
